,Sex,LSM (mm),Diameter (mm),Height (mm),Weight_of_Abalone (grams),Weight_Of_Meat (mm),Gut_Weight_After_Bleeding (grams),Shell_Weight (grams),Rings
3122,2,0.56,0.42,0.15,0.8755,0.44,0.1965,0.2315,8.0
395,1,0.39,0.31,0.1,0.302,0.11599999999999999,0.064,0.115,11.0
393,1,0.365,0.295,0.095,0.25,0.1075,0.0545,0.08,9.0
2967,2,0.68,0.515,0.16,1.2345,0.618,0.2625,0.325,11.0
63,2,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,7.0
3250,0,0.435,0.35,0.125,0.45899999999999996,0.19699999999999998,0.1145,0.145,9.0
2121,1,0.475,0.36,0.11,0.4555,0.177,0.0965,0.145,9.0
4140,0,0.645,0.535,0.19,1.2395,0.46799999999999997,0.2385,0.424,10.0
1431,1,0.365,0.265,0.135,0.2215,0.105,0.047,0.0605,7.0
1211,1,0.245,0.205,0.06,0.0765,0.034,0.013999999999999999,0.0215,4.0
2078,2,0.61,0.48,0.165,1.2435,0.5575,0.2675,0.37200000000000005,8.0
77,0,0.6,0.47,0.15,0.922,0.363,0.19399999999999998,0.305,10.0
956,2,0.495,0.4,0.135,0.61,0.272,0.1435,0.14400000000000002,7.0
2754,1,0.525,0.385,0.13,0.607,0.2355,0.125,0.195,8.0
3837,1,0.17,0.105,0.035,0.034,0.012,0.0085,0.005,4.0
3292,0,0.495,0.375,0.15,0.597,0.2615,0.135,0.17800000000000002,11.0
385,0,0.455,0.37,0.105,0.4925,0.21600000000000003,0.1245,0.135,9.0
3332,1,0.44,0.34,0.125,0.4895,0.1735,0.0875,0.2,13.0
1194,0,0.7,0.525,0.19,1.6465,0.8545,0.307,0.3995,9.0
3321,1,0.49,0.385,0.14,0.5425,0.198,0.127,0.175,11.0
377,0,0.585,0.45,0.16,1.077,0.4995,0.2875,0.25,10.0
678,0,0.45,0.38,0.165,0.8165,0.25,0.1915,0.265,23.0
3470,2,0.72,0.565,0.2,1.787,0.718,0.385,0.529,11.0
3820,2,0.57,0.44,0.145,0.8815,0.3605,0.1955,0.2735,10.0
397,2,0.47,0.38,0.145,0.5865,0.2385,0.14400000000000002,0.185,8.0
3913,1,0.54,0.4,0.145,0.757,0.315,0.18100000000000002,0.215,11.0
225,0,0.5,0.37,0.135,0.45,0.1715,0.1055,0.155,9.0
3844,2,0.57,0.45,0.155,0.91,0.326,0.1895,0.355,14.0
2525,2,0.59,0.455,0.16,1.09,0.5,0.2215,0.292,9.0
3491,2,0.55,0.44,0.16,0.985,0.4645,0.201,0.27,8.0
3984,2,0.6,0.465,0.155,1.262,0.6245,0.2455,0.33,10.0
2734,1,0.42,0.325,0.115,0.314,0.1295,0.0635,0.1,8.0
3629,1,0.27,0.205,0.05,0.084,0.03,0.0185,0.028999999999999998,6.0
91,2,0.555,0.44,0.15,0.755,0.307,0.1525,0.26,12.0
301,0,0.54,0.435,0.175,0.892,0.322,0.174,0.335,13.0
2858,2,0.695,0.54,0.195,1.6909999999999998,0.768,0.363,0.4755,11.0
1365,2,0.61,0.475,0.17,1.0265,0.435,0.2335,0.3035,10.0
1552,1,0.39,0.285,0.1,0.281,0.1275,0.062,0.077,7.0
2833,0,0.54,0.415,0.15,0.8115,0.3875,0.1875,0.2035,9.0
3099,2,0.575,0.48,0.15,0.9465,0.4355,0.2605,0.2505,9.0
2283,1,0.435,0.345,0.12,0.4475,0.221,0.11199999999999999,0.125,7.0
1252,1,0.41,0.335,0.11,0.33,0.157,0.0705,0.17,7.0
1905,1,0.575,0.45,0.135,0.8715,0.45,0.162,0.225,10.0
3484,1,0.475,0.42,0.16,0.7095,0.35,0.1505,0.1845,8.0
2631,1,0.375,0.29,0.1,0.21899999999999997,0.0925,0.038,0.075,6.0
3689,0,0.63,0.505,0.195,1.306,0.516,0.3305,0.375,9.0
2294,2,0.525,0.425,0.12,0.7020000000000001,0.3335,0.1465,0.22,12.0
2641,1,0.475,0.365,0.1,0.1315,0.2025,0.0875,0.12300000000000001,7.0
1980,0,0.705,0.535,0.22,1.8659999999999999,0.929,0.3835,0.4395,10.0
1101,1,0.5,0.38,0.125,0.519,0.2485,0.1135,0.134,8.0
426,0,0.61,0.485,0.165,1.0915,0.3935,0.2435,0.33,18.0
444,0,0.41,0.325,0.105,0.3635,0.159,0.077,0.12,10.0
811,0,0.49,0.365,0.13,0.6835,0.165,0.1315,0.205,21.0
3119,0,0.525,0.4,0.135,0.7140000000000001,0.318,0.138,0.20800000000000002,10.0
1758,2,0.735,0.59,0.215,1.7469999999999999,0.7275,0.40299999999999997,0.557,11.0
573,0,0.57,0.44,0.14,0.9535,0.3785,0.201,0.305,17.0
1529,2,0.74,0.57,0.18,1.8725,0.9115,0.42700000000000005,0.446,10.0
2559,1,0.415,0.325,0.1,0.3335,0.1445,0.0715,0.095,7.0
1055,1,0.195,0.135,0.04,0.0325,0.0135,0.005,0.0095,4.0
893,1,0.24,0.175,0.055,0.0705,0.025,0.013999999999999999,0.021,5.0
209,1,0.37,0.28,0.095,0.2655,0.122,0.052000000000000005,0.08,7.0
3923,2,0.395,0.28,0.08,0.266,0.0995,0.066,0.09,12.0
3685,2,0.62,0.48,0.165,1.0855,0.48100000000000004,0.2575,0.305,10.0
449,0,0.565,0.455,0.15,0.8205,0.365,0.159,0.26,18.0
1112,0,0.52,0.46,0.15,1.0190000000000001,0.523,0.1985,0.254,7.0
1475,0,0.56,0.43,0.15,0.8745,0.45299999999999996,0.161,0.22,8.0
3208,1,0.32,0.25,0.08,0.1565,0.057,0.034,0.06,9.0
3379,1,0.295,0.21,0.08,0.1,0.038,0.026000000000000002,0.031,8.0
4104,0,0.71,0.545,0.175,1.9069999999999998,0.8725,0.4565,0.475,11.0
2205,1,0.275,0.22,0.08,0.1365,0.0565,0.0285,0.042,6.0
2667,0,0.585,0.45,0.15,0.938,0.467,0.203,0.225,7.0
76,2,0.595,0.475,0.14,0.9440000000000001,0.3625,0.18899999999999997,0.315,9.0
233,1,0.275,0.215,0.075,0.1155,0.0485,0.028999999999999998,0.035,7.0
4098,0,0.65,0.495,0.16,1.3105,0.5770000000000001,0.3315,0.355,9.0
60,2,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7.0
1401,2,0.65,0.525,0.175,1.5365,0.6865,0.3585,0.405,11.0
2150,2,0.445,0.355,0.11,0.4415,0.1805,0.1035,0.1505,10.0
1201,2,0.72,0.565,0.145,1.187,0.691,0.1945,0.2685,8.0
1478,2,0.575,0.465,0.15,1.08,0.595,0.2065,0.23800000000000002,9.0
1611,2,0.55,0.435,0.14,0.7625,0.327,0.1685,0.259,10.0
2977,1,0.43,0.33,0.1,0.449,0.254,0.0825,0.09699999999999999,6.0
2042,1,0.385,0.28,0.1,0.2755,0.1305,0.061,0.0725,8.0
1975,2,0.69,0.55,0.18,1.6915,0.6655,0.402,0.5,11.0
1783,2,0.525,0.38,0.125,0.65,0.303,0.155,0.159,7.0
971,2,0.515,0.39,0.155,0.7125,0.3695,0.13699999999999998,0.155,7.0
3749,1,0.43,0.33,0.095,0.32,0.11800000000000001,0.065,0.12300000000000001,7.0
3680,0,0.61,0.495,0.165,1.0835,0.4525,0.273,0.317,9.0
1271,1,0.47,0.355,0.12,0.39299999999999996,0.16699999999999998,0.0885,0.115,8.0
2073,0,0.58,0.435,0.15,0.8390000000000001,0.3485,0.207,0.192,7.0
123,2,0.37,0.265,0.075,0.214,0.09,0.051,0.07,6.0
3,2,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,10.0
2051,0,0.455,0.355,1.13,0.594,0.332,0.11599999999999999,0.1335,8.0
2978,2,0.485,0.365,0.155,1.0290000000000001,0.4235,0.2285,0.313,8.0
2712,1,0.21,0.15,0.045,0.04,0.0135,0.008,0.0105,4.0
3360,0,0.58,0.44,0.175,1.073,0.4005,0.2345,0.335,19.0
857,2,0.59,0.46,0.13,1.102,0.455,0.2055,0.33,12.0
2875,1,0.435,0.335,0.095,0.298,0.109,0.057999999999999996,0.115,7.0
243,1,0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04,8.0
260,0,0.54,0.475,0.155,0.9279999999999999,0.39399999999999996,0.19399999999999998,0.26,11.0
347,1,0.34,0.26,0.08,0.2,0.08,0.0555,0.055,6.0
364,0,0.62,0.5,0.175,1.186,0.4985,0.3015,0.35,12.0
1004,0,0.605,0.49,0.15,1.1345,0.5265,0.2645,0.295,9.0
129,2,0.71,0.54,0.165,1.959,0.7665,0.261,0.78,18.0
3154,2,0.54,0.41,0.13,0.56,0.2375,0.1065,0.175,7.0
1744,0,0.685,0.565,0.175,1.6380000000000001,0.7775,0.375,0.43799999999999994,11.0
2351,2,0.59,0.475,0.16,0.9455,0.3815,0.184,0.27,19.0
1190,0,0.69,0.53,0.17,1.5535,0.7945,0.3485,0.3695,9.0
3031,1,0.525,0.4,0.11,0.6275,0.3015,0.126,0.18,8.0
1996,1,0.325,0.25,0.07,0.1745,0.0875,0.0355,0.04,7.0
2898,1,0.55,0.435,0.165,0.804,0.34,0.19399999999999998,0.244,8.0
1223,1,0.34,0.25,0.09,0.179,0.0775,0.033,0.055,6.0
3144,0,0.625,0.48,0.2,1.3235,0.6075,0.3055,0.355,9.0
3075,0,0.68,0.52,0.185,1.494,0.615,0.3935,0.406,11.0
1283,1,0.5,0.375,0.145,0.5795,0.239,0.1375,0.185,9.0
4046,2,0.6,0.46,0.155,0.6655,0.285,0.149,0.26899999999999996,11.0
2387,1,0.47,0.35,0.135,0.5670000000000001,0.2315,0.1465,0.1525,11.0
4039,1,0.56,0.44,0.155,0.8109999999999999,0.3685,0.17800000000000002,0.235,11.0
527,0,0.57,0.445,0.155,0.733,0.282,0.159,0.235,14.0
494,2,0.625,0.5,0.195,1.369,0.5875,0.2185,0.37,17.0
3712,0,0.705,0.53,0.17,1.564,0.612,0.39399999999999996,0.44,10.0
1076,1,0.42,0.3,0.105,0.316,0.1255,0.07,0.1035,7.0
1809,0,0.64,0.475,0.14,1.0725,0.4895,0.2295,0.31,8.0
1787,1,0.545,0.42,0.165,0.8935,0.4235,0.2195,0.228,8.0
319,1,0.33,0.255,0.095,0.172,0.066,0.0255,0.06,6.0
1231,1,0.365,0.265,0.085,0.213,0.0945,0.049,0.06,7.0
2477,2,0.57,0.42,0.155,1.008,0.377,0.193,0.34,13.0
2316,2,0.535,0.435,0.155,0.8915,0.3415,0.177,0.25,13.0
1131,2,0.565,0.435,0.15,0.99,0.5795,0.1825,0.20600000000000002,8.0
983,0,0.565,0.4,0.13,0.6975,0.3075,0.1665,0.18,8.0
4105,0,0.715,0.565,0.18,1.79,0.8440000000000001,0.3535,0.5385,9.0
3399,0,0.46,0.35,0.115,0.44,0.19,0.1025,0.13,8.0
2456,1,0.25,0.18,0.06,0.073,0.027999999999999997,0.017,0.0225,5.0
3375,0,0.46,0.33,0.15,0.5325,0.2085,0.1805,0.125,10.0
2352,2,0.7,0.53,0.19,1.3185,0.5479999999999999,0.233,0.42,18.0
1990,1,0.28,0.2,0.065,0.0895,0.036000000000000004,0.0185,0.03,7.0
3025,1,0.495,0.33,0.1,0.44,0.177,0.095,0.15,7.0
2371,2,0.18,0.125,0.05,0.023,0.0085,0.0055,0.01,3.0
1959,0,0.65,0.51,0.155,1.189,0.483,0.278,0.3645,13.0
1586,1,0.515,0.35,0.105,0.4745,0.213,0.12300000000000001,0.1275,10.0
2547,1,0.23,0.18,0.05,0.064,0.0215,0.0135,0.02,5.0
1559,1,0.435,0.335,0.1,0.3295,0.129,0.07,0.11,7.0
497,0,0.605,0.485,0.165,1.0105,0.435,0.209,0.3,19.0
3828,2,0.68,0.52,0.175,1.5430000000000001,0.7525,0.35100000000000003,0.374,11.0
2506,1,0.375,0.3,0.075,0.14400000000000002,0.059000000000000004,0.03,0.044000000000000004,7.0
1322,0,0.56,0.445,0.155,1.224,0.5565,0.3225,0.2695,10.0
2009,1,0.43,0.32,0.11,0.3675,0.1675,0.102,0.105,8.0
1158,2,0.605,0.475,0.14,1.1175,0.555,0.257,0.27399999999999997,9.0
3142,1,0.215,0.165,0.055,0.059000000000000004,0.0265,0.0125,0.0185,5.0
793,2,0.575,0.45,0.165,0.9215,0.3275,0.225,0.256,12.0
3103,2,0.645,0.5,0.18,1.4609999999999999,0.5985,0.2425,0.439,11.0
3983,0,0.585,0.45,0.125,0.8740000000000001,0.3545,0.2075,0.225,6.0
3123,2,0.575,0.45,0.135,0.9215,0.354,0.209,0.2365,9.0
3938,0,0.35,0.275,0.065,0.205,0.0745,0.0465,0.07,10.0
3057,2,0.615,0.49,0.17,1.145,0.4915,0.20800000000000002,0.34299999999999997,13.0
2921,0,0.6,0.45,0.15,0.9625,0.4375,0.2225,0.2775,9.0
3239,0,0.69,0.54,0.185,1.5715,0.6935,0.318,0.47,15.0
1326,2,0.565,0.445,0.15,0.7959999999999999,0.3635,0.184,0.21899999999999997,8.0
3870,2,0.545,0.44,0.165,0.7440000000000001,0.2875,0.204,0.25,15.0
2341,1,0.31,0.24,0.09,0.1455,0.0605,0.0315,0.045,7.0
2324,0,0.665,0.535,0.19,1.496,0.5775,0.2815,0.475,17.0
2953,0,0.645,0.52,0.17,1.197,0.526,0.2925,0.317,11.0
3362,2,0.41,0.3,0.1,0.301,0.124,0.069,0.09,9.0
4152,1,0.37,0.28,0.09,0.218,0.0995,0.0545,0.0615,7.0
196,0,0.505,0.41,0.15,0.644,0.285,0.145,0.21,11.0
3805,2,0.425,0.305,0.11,0.359,0.17300000000000001,0.0875,0.0975,9.0
2249,0,0.585,0.455,0.165,0.998,0.345,0.2495,0.315,12.0
1139,0,0.575,0.47,0.165,0.8690000000000001,0.435,0.19699999999999998,0.23800000000000002,9.0
330,2,0.5,0.38,0.155,0.5955,0.2135,0.161,0.2,12.0
1369,0,0.615,0.475,0.155,1.004,0.4475,0.193,0.2895,10.0
2728,1,0.405,0.31,0.11,0.91,0.41600000000000004,0.2075,0.0995,8.0
425,2,0.58,0.45,0.175,1.068,0.425,0.203,0.32,13.0
2405,1,0.655,0.515,0.145,1.25,0.5265,0.28300000000000003,0.315,15.0
686,0,0.535,0.4,0.15,0.8045,0.3345,0.2125,0.21,13.0
4091,2,0.625,0.5,0.18,1.3705,0.645,0.303,0.3705,12.0
2241,0,0.435,0.32,0.12,0.3785,0.152,0.0915,0.125,11.0
2690,2,0.645,0.48,0.15,1.192,0.6055,0.2595,0.285,9.0
1448,1,0.44,0.365,0.11,0.4465,0.213,0.08900000000000001,0.1135,9.0
2338,2,0.655,0.485,0.195,1.62,0.6275,0.358,0.485,17.0
1059,1,0.25,0.18,0.065,0.0685,0.0245,0.0155,0.0225,5.0
3381,2,0.545,0.435,0.165,0.9955,0.3245,0.2665,0.325,19.0
2120,2,0.425,0.325,0.1,0.3295,0.1365,0.0725,0.11,7.0
3487,1,0.51,0.405,0.13,0.599,0.3065,0.1155,0.1485,8.0
3981,2,0.565,0.455,0.15,0.9795,0.444,0.205,0.275,8.0
3878,2,0.45,0.355,0.115,0.478,0.18,0.1185,0.155,10.0
3637,1,0.435,0.325,0.1,0.342,0.1335,0.0835,0.105,6.0
1734,2,0.67,0.505,0.16,1.2585,0.6255,0.311,0.308,12.0
1485,0,0.59,0.46,0.145,0.9905,0.45299999999999996,0.2205,0.275,8.0
1010,0,0.62,0.51,0.18,1.3315,0.594,0.276,0.38799999999999996,11.0
2815,1,0.32,0.235,0.09,0.183,0.098,0.0335,0.042,7.0
988,2,0.57,0.46,0.17,0.9035,0.4075,0.1935,0.214,7.0
658,1,0.58,0.49,0.195,1.3165,0.5305,0.254,0.41,18.0
3330,0,0.385,0.305,0.125,0.314,0.146,0.0555,0.08,10.0
750,0,0.51,0.39,0.105,0.612,0.187,0.15,0.195,13.0
3716,1,0.235,0.13,0.075,0.1585,0.0685,0.037000000000000005,0.0465,5.0
529,2,0.385,0.3,0.095,0.24,0.0885,0.059000000000000004,0.085,9.0
3170,0,0.57,0.465,0.155,0.872,0.3245,0.239,0.285,14.0
1767,2,0.39,0.28,0.125,0.564,0.3035,0.0955,0.14300000000000002,7.0
1406,0,0.655,0.52,0.19,1.4545,0.6,0.3865,0.38299999999999995,10.0
4145,2,0.67,0.525,0.2,1.7405,0.6205,0.297,0.657,11.0
4059,2,0.515,0.39,0.12,0.6125,0.302,0.1365,0.1415,8.0
1100,1,0.5,0.375,0.12,0.542,0.215,0.11599999999999999,0.17,9.0
2034,0,0.625,0.515,0.18,1.3485,0.5255,0.252,0.3925,14.0
1701,0,0.635,0.49,0.175,1.2435,0.5805,0.313,0.305,10.0
2939,0,0.625,0.49,0.145,0.92,0.43700000000000006,0.1735,0.28,10.0
1917,2,0.6,0.475,0.15,0.99,0.386,0.2195,0.3105,10.0
2209,0,0.55,0.465,0.18,1.2125,0.3245,0.205,0.525,27.0
1471,2,0.53,0.4,0.125,0.7575,0.39799999999999996,0.151,0.175,8.0
835,1,0.45,0.35,0.13,0.547,0.245,0.1405,0.1405,8.0
1233,1,0.37,0.28,0.085,0.217,0.1095,0.035,0.062,6.0
2197,1,0.405,0.305,0.105,0.3625,0.1565,0.0705,0.125,10.0
3561,1,0.57,0.42,0.13,0.7745,0.3535,0.1505,0.2365,9.0
1671,2,0.61,0.47,0.16,1.022,0.449,0.2345,0.2945,9.0
794,2,0.58,0.465,0.16,1.0345,0.315,0.26,0.3635,12.0
383,2,0.47,0.375,0.12,0.5565,0.226,0.122,0.195,12.0
1117,1,0.53,0.4,0.125,0.617,0.27899999999999997,0.127,0.19,8.0
1866,1,0.52,0.385,0.115,0.581,0.2555,0.156,0.14300000000000002,10.0
1057,1,0.225,0.165,0.055,0.059000000000000004,0.027000000000000003,0.0125,0.015,4.0
1353,2,0.6,0.48,0.155,1.014,0.451,0.1885,0.325,11.0
1377,2,0.62,0.495,0.18,1.2555,0.5765,0.254,0.355,12.0
3946,2,0.525,0.41,0.165,0.8005,0.2635,0.1985,0.25,13.0
1587,1,0.515,0.395,0.125,0.6635,0.32,0.14,0.17,8.0
3948,0,0.53,0.4,0.165,0.772,0.2855,0.1975,0.23,12.0
3694,2,0.65,0.495,0.16,1.2075,0.55,0.2695,0.32,10.0
3155,2,0.505,0.395,0.125,0.635,0.29,0.1555,0.175,9.0
1916,2,0.6,0.46,0.17,1.1805,0.456,0.337,0.32899999999999996,11.0
3816,2,0.465,0.355,0.12,0.5315,0.2725,0.09699999999999999,0.1395,8.0
1991,1,0.285,0.215,0.06,0.0935,0.031,0.023,0.03,6.0
3854,0,0.485,0.4,0.155,0.731,0.23600000000000002,0.183,0.255,11.0
2736,1,0.43,0.34,0.11,0.3645,0.159,0.0855,0.105,7.0
2229,2,0.37,0.28,0.095,0.2225,0.0805,0.051,0.075,7.0
1396,2,0.645,0.51,0.16,1.1835,0.556,0.2385,0.345,11.0
2467,2,0.51,0.415,0.14,0.8185,0.3025,0.2155,0.235,16.0
1245,1,0.385,0.28,0.09,0.228,0.1025,0.042,0.0655,5.0
3279,0,0.655,0.53,0.19,1.4280000000000002,0.493,0.318,0.565,18.0
1287,1,0.505,0.405,0.13,0.6015,0.3015,0.11,0.18,8.0
1124,0,0.55,0.43,0.15,0.84,0.395,0.195,0.223,8.0
3217,2,0.425,0.34,0.12,0.38799999999999996,0.149,0.087,0.125,10.0
3072,0,0.66,0.53,0.18,1.5175,0.7765,0.302,0.401,10.0
3182,2,0.645,0.505,0.165,1.307,0.4335,0.262,0.52,10.0
2016,2,0.505,0.39,0.12,0.653,0.3315,0.1385,0.16699999999999998,9.0
1066,1,0.32,0.225,0.085,0.1415,0.0675,0.0295,0.0405,6.0
1904,0,0.575,0.465,0.175,1.099,0.4735,0.20199999999999999,0.35,9.0
2807,2,0.7,0.54,0.205,1.74,0.7885,0.373,0.4865,13.0
2445,2,0.5,0.38,0.135,0.5835,0.2295,0.1265,0.18,12.0
152,0,0.635,0.515,0.19,1.3715,0.5065,0.305,0.45,10.0
2901,1,0.56,0.43,0.13,0.728,0.3355,0.1435,0.2175,8.0
2,0,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,9.0
2319,0,0.505,0.395,0.145,0.6515,0.2695,0.153,0.205,15.0
2156,2,0.61,0.5,0.165,1.2715,0.4915,0.185,0.49,12.0
4014,2,0.625,0.48,0.175,1.065,0.4865,0.259,0.285,10.0
2152,0,0.4,0.3,0.115,0.3025,0.1335,0.0465,0.0935,8.0
1617,1,0.555,0.435,0.14,0.765,0.3945,0.15,0.20600000000000002,8.0
488,2,0.54,0.42,0.135,0.8075,0.3485,0.1795,0.235,11.0
1408,0,0.66,0.495,0.21,1.548,0.7240000000000001,0.3525,0.3925,10.0
3336,0,0.45,0.35,0.125,0.4435,0.185,0.09,0.145,11.0
1678,1,0.62,0.485,0.18,1.1540000000000001,0.4935,0.256,0.315,12.0
3546,1,0.475,0.35,0.115,0.498,0.2375,0.099,0.14,7.0
3171,2,0.525,0.405,0.16,0.792,0.316,0.1455,0.28,13.0
697,2,0.28,0.205,0.1,0.1165,0.0545,0.0285,0.03,5.0
360,2,0.605,0.49,0.18,1.227,0.48,0.287,0.35,18.0
435,2,0.5,0.41,0.15,0.662,0.2815,0.13699999999999998,0.22,11.0
3366,2,0.28,0.21,0.065,0.0905,0.035,0.02,0.03,5.0
3523,1,0.26,0.205,0.07,0.09699999999999999,0.0415,0.019,0.0305,4.0
1835,1,0.41,0.335,0.105,0.3305,0.1405,0.064,0.105,7.0
3665,1,0.575,0.45,0.145,0.872,0.4675,0.18,0.217,9.0
1799,2,0.6,0.465,0.165,1.038,0.4975,0.2205,0.251,9.0
3335,0,0.425,0.325,0.135,0.382,0.1465,0.079,0.14,12.0
577,0,0.585,0.435,0.175,0.982,0.4055,0.2495,0.27,10.0
3498,2,0.59,0.46,0.145,0.929,0.38,0.24,0.255,10.0
84,2,0.58,0.45,0.14,1.013,0.38,0.21600000000000003,0.36,14.0
1460,2,0.485,0.39,0.085,0.6435,0.2945,0.10300000000000001,0.198,8.0
2825,1,0.495,0.375,0.12,0.589,0.3075,0.1215,0.1405,8.0
3441,0,0.465,0.355,0.115,0.4705,0.1955,0.11800000000000001,0.126,7.0
3308,2,0.275,0.2,0.08,0.099,0.037000000000000005,0.024,0.03,5.0
4011,2,0.615,0.53,0.17,1.12,0.5775,0.2095,0.28600000000000003,9.0
3806,1,0.425,0.31,0.095,0.3505,0.1645,0.071,0.1,8.0
3474,1,0.355,0.265,0.085,0.2435,0.122,0.0525,0.06,6.0
284,2,0.515,0.38,0.175,0.9565,0.325,0.158,0.31,14.0
3555,2,0.535,0.415,0.135,0.78,0.3165,0.16899999999999998,0.2365,8.0
3917,1,0.615,0.46,0.19,1.0659999999999998,0.4335,0.226,0.33,13.0
2905,2,0.575,0.45,0.165,0.9655,0.498,0.19,0.23,8.0
1710,2,0.645,0.51,0.195,1.226,0.5885,0.2215,0.3745,10.0
3078,0,0.695,0.535,0.2,1.5855,0.667,0.33399999999999996,0.47100000000000003,11.0
828,1,0.41,0.325,0.1,0.39399999999999996,0.20800000000000002,0.0655,0.106,6.0
3042,1,0.575,0.43,0.13,0.7425,0.2895,0.2005,0.22,8.0
3169,2,0.56,0.45,0.155,0.9125,0.3595,0.271,0.35,10.0
332,1,0.3,0.22,0.08,0.121,0.0475,0.042,0.035,5.0
902,1,0.305,0.22,0.07,0.141,0.062,0.031,0.037000000000000005,5.0
2542,0,0.695,0.53,0.2,2.0475,0.75,0.4195,0.6095,14.0
3018,1,0.44,0.32,0.105,0.3875,0.1755,0.07400000000000001,0.12,9.0
1793,2,0.575,0.44,0.185,1.025,0.5075,0.2245,0.2485,10.0
3645,1,0.475,0.335,0.1,0.4425,0.1895,0.086,0.135,9.0
1807,2,0.635,0.495,0.195,1.172,0.445,0.3115,0.3475,11.0
4081,2,0.56,0.45,0.145,0.9355,0.425,0.1645,0.2725,11.0
920,1,0.415,0.33,0.09,0.3595,0.17,0.081,0.09,6.0
3514,2,0.67,0.525,0.18,1.6615,0.8005,0.3645,0.43,10.0
724,2,0.465,0.36,0.08,0.488,0.191,0.125,0.155,11.0
3957,0,0.555,0.44,0.155,1.016,0.4935,0.1855,0.263,10.0
3833,2,0.535,0.41,0.15,0.8105,0.345,0.187,0.24,11.0
995,2,0.58,0.49,0.13,1.1335,0.586,0.2565,0.237,9.0
2353,0,0.72,0.56,0.175,1.7265,0.637,0.3415,0.525,17.0
47,0,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,7.0
3795,2,0.675,0.54,0.175,1.5545,0.6645,0.278,0.512,12.0
3610,2,0.58,0.45,0.16,0.8675,0.3935,0.221,0.215,9.0
169,0,0.68,0.515,0.175,1.6185,0.5125,0.409,0.62,12.0
2430,1,0.52,0.38,0.14,0.525,0.1775,0.115,0.185,11.0
2968,0,0.68,0.505,0.17,1.3435,0.657,0.297,0.355,12.0
2538,2,0.66,0.535,0.2,1.791,0.733,0.318,0.54,15.0
2632,1,0.415,0.315,0.1,0.3645,0.1765,0.0795,0.095,8.0
2934,0,0.62,0.475,0.15,0.9545,0.455,0.1865,0.27699999999999997,9.0
3340,1,0.54,0.435,0.145,0.97,0.4285,0.22,0.264,17.0
3396,2,0.605,0.475,0.16,1.6159999999999999,0.5495,0.332,0.34,18.0
1241,1,0.38,0.27,0.08,0.2105,0.0865,0.042,0.07,8.0
1970,2,0.675,0.515,0.15,1.3119999999999998,0.556,0.2845,0.4115,11.0
4040,0,0.575,0.45,0.12,0.9585,0.447,0.16899999999999998,0.275,12.0
1887,1,0.56,0.445,0.165,0.8320000000000001,0.3455,0.179,0.27899999999999997,9.0
3596,2,0.675,0.515,0.145,1.265,0.6025,0.299,0.325,10.0
2866,1,0.32,0.205,0.08,0.18100000000000002,0.08800000000000001,0.034,0.0495,5.0
754,2,0.65,0.515,0.175,1.4805,0.5295,0.272,0.525,20.0
892,1,0.205,0.14,0.05,0.046,0.0165,0.012,0.0135,6.0
1668,2,0.61,0.475,0.155,0.983,0.4565,0.228,0.266,10.0
1046,0,0.695,0.535,0.175,1.8385,0.8035,0.396,0.503,10.0
1645,2,0.58,0.43,0.13,0.7979999999999999,0.365,0.17300000000000001,0.2285,10.0
4019,2,0.66,0.515,0.155,1.4415,0.7055,0.3555,0.335,10.0
1079,1,0.425,0.325,0.115,0.3685,0.162,0.0865,0.1045,7.0
1653,2,0.595,0.45,0.145,0.9590000000000001,0.46299999999999997,0.2065,0.2535,10.0
758,2,0.57,0.44,0.155,1.1159999999999999,0.4775,0.2315,0.27,13.0
1126,2,0.56,0.43,0.145,0.8995,0.46399999999999997,0.1775,0.23399999999999999,9.0
787,2,0.495,0.385,0.135,0.7090000000000001,0.21100000000000002,0.1375,0.262,12.0
2202,2,0.57,0.405,0.16,0.9245,0.3445,0.2185,0.295,19.0
2227,1,0.275,0.2,0.075,0.086,0.0305,0.019,0.03,7.0
162,2,0.61,0.485,0.175,1.2445,0.544,0.297,0.345,12.0
4163,1,0.39,0.31,0.085,0.344,0.18100000000000002,0.0695,0.079,7.0
976,2,0.53,0.405,0.125,0.6515,0.2715,0.1605,0.18600000000000003,7.0
1412,0,0.67,0.505,0.175,1.0145,0.4375,0.271,0.3745,10.0
3573,0,0.595,0.465,0.145,0.7955,0.3425,0.1795,0.2425,10.0
3077,2,0.685,0.51,0.165,1.545,0.6859999999999999,0.3775,0.4055,10.0
2894,1,0.54,0.425,0.13,0.8155,0.3675,0.1365,0.24600000000000002,11.0
951,2,0.48,0.36,0.1,0.439,0.19399999999999998,0.099,0.115,8.0
3775,2,0.58,0.45,0.155,0.8275,0.321,0.1975,0.2445,8.0
4108,1,0.48,0.35,0.1,0.519,0.2365,0.1275,0.126,7.0
3091,2,0.495,0.38,0.12,0.474,0.19699999999999998,0.1065,0.1545,10.0
